slot_key,hour_of_day,hour_label,daypart,day_of_week,day_name,is_weekend,orders,orders_with_revenue,revenue_usd,units,avg_order_value_usd,share_of_orders
609,9,09:00,2. Morning (06-11),6,Saturday,true,5,4,900.86,7,225.22,0.011
610,10,10:00,2. Morning (06-11),6,Saturday,true,8,8,2227.47,14,278.43,0.0177
611,11,11:00,2. Morning (06-11),6,Saturday,true,9,4,1052.17,36,263.04,0.0199
612,12,12:00,3. Afternoon (12-17),6,Saturday,true,7,7,2118.63,13,302.66,0.0155
613,13,13:00,3. Afternoon (12-17),6,Saturday,true,4,4,1269.48,10,317.37,0.0088
614,14,14:00,3. Afternoon (12-17),6,Saturday,true,12,12,3296.09,27,274.67,0.0265
615,15,15:00,3. Afternoon (12-17),6,Saturday,true,8,4,871.95,22,217.99,0.0177
616,16,16:00,3. Afternoon (12-17),6,Saturday,true,6,5,1044.87,23,208.97,0.0132
617,17,17:00,3. Afternoon (12-17),6,Saturday,true,3,3,1060.08,2,353.36,0.0066
618,18,18:00,4. Evening (18-23),6,Saturday,true,2,2,680.40,8,340.2,0.0044
109,9,09:00,2. Morning (06-11),1,Monday,false,6,6,1449.69,13,241.62,0.0132
110,10,10:00,2. Morning (06-11),1,Monday,false,8,7,2134.03,10,304.86,0.0177
111,11,11:00,2. Morning (06-11),1,Monday,false,9,6,1769.59,10,294.93,0.0199
112,12,12:00,3. Afternoon (12-17),1,Monday,false,8,8,2693.65,9,336.71,0.0177
113,13,13:00,3. Afternoon (12-17),1,Monday,false,5,4,1093.20,17,273.3,0.011
114,14,14:00,3. Afternoon (12-17),1,Monday,false,8,8,2221.08,23,277.64,0.0177
115,15,15:00,3. Afternoon (12-17),1,Monday,false,9,5,1421.07,23,284.21,0.0199
116,16,16:00,3. Afternoon (12-17),1,Monday,false,7,7,2162.46,20,308.92,0.0155
117,17,17:00,3. Afternoon (12-17),1,Monday,false,2,2,592.16,3,296.08,0.0044
118,18,18:00,4. Evening (18-23),1,Monday,false,2,2,624.05,0,312.02,0.0044
409,9,09:00,2. Morning (06-11),4,Thursday,false,7,4,1232.43,16,308.11,0.0155
410,10,10:00,2. Morning (06-11),4,Thursday,false,8,7,2023.21,19,289.03,0.0177
411,11,11:00,2. Morning (06-11),4,Thursday,false,7,3,1123.41,14,374.47,0.0155
412,12,12:00,3. Afternoon (12-17),4,Thursday,false,10,10,2827.67,26,282.77,0.0221
413,13,13:00,3. Afternoon (12-17),4,Thursday,false,4,4,1101.30,15,275.33,0.0088
414,14,14:00,3. Afternoon (12-17),4,Thursday,false,9,9,2283.64,19,253.74,0.0199
415,15,15:00,3. Afternoon (12-17),4,Thursday,false,12,7,2346.63,28,335.23,0.0265
416,16,16:00,3. Afternoon (12-17),4,Thursday,false,3,3,661.62,6,220.54,0.0066
417,17,17:00,3. Afternoon (12-17),4,Thursday,false,3,3,846.29,1,282.1,0.0066
418,18,18:00,4. Evening (18-23),4,Thursday,false,2,2,535.30,2,267.65,0.0044
209,9,09:00,2. Morning (06-11),2,Tuesday,false,6,6,1728.06,13,288.01,0.0132
210,10,10:00,2. Morning (06-11),2,Tuesday,false,7,7,1874.95,18,267.85,0.0155
